pocket card;suited;stack;place;décision;scenario
A-A;Pairé;10;BB;;vs open BTN
A-K;suited;10;BB;;vs open BTN
A-Q;suited;10;BB;;vs open BTN
A-J;suited;10;BB;;vs open BTN
A-10;suited;10;BB;;vs open BTN
A-9;suited;10;BB;;vs open BTN
A-8;suited;10;BB;;vs open BTN
A-7;suited;10;BB;;vs open BTN
A-6;suited;10;BB;;vs open BTN
A-5;suited;10;BB;;vs open BTN
A-4;suited;10;BB;;vs open BTN
A-3;suited;10;BB;;vs open BTN
A-2;suited;10;BB;;vs open BTN
A-K;non suited;10;BB;;vs open BTN
A-Q;non suited;10;BB;;vs open BTN
A-J;non suited;10;BB;;vs open BTN
A-10;non suited;10;BB;;vs open BTN
A-9;non suited;10;BB;;vs open BTN
A-8;non suited;10;BB;;vs open BTN
A-7;non suited;10;BB;;vs open BTN
A-6;non suited;10;BB;;vs open BTN
A-5;non suited;10;BB;;vs open BTN
A-4;non suited;10;BB;;vs open BTN
A-3;non suited;10;BB;;vs open BTN
A-2;non suited;10;BB;;vs open BTN
K-K;Pairé;10;BB;;vs open BTN
K-Q;suited;10;BB;;vs open BTN
K-J;suited;10;BB;;vs open BTN
K-10;suited;10;BB;;vs open BTN
K-9;suited;10;BB;;vs open BTN
K-8;suited;10;BB;;vs open BTN
K-7;suited;10;BB;;vs open BTN
K-6;suited;10;BB;;vs open BTN
K-5;suited;10;BB;;vs open BTN
K-4;suited;10;BB;;vs open BTN
K-3;suited;10;BB;;vs open BTN
K-2;suited;10;BB;;vs open BTN
K-Q;non suited;10;BB;;vs open BTN
K-J;non suited;10;BB;;vs open BTN
K-10;non suited;10;BB;;vs open BTN
K-9;non suited;10;BB;;vs open BTN
K-8;non suited;10;BB;;vs open BTN
K-7;non suited;10;BB;;vs open BTN
K-6;non suited;10;BB;;vs open BTN
K-5;non suited;10;BB;;vs open BTN
K-4;non suited;10;BB;;vs open BTN
K-3;non suited;10;BB;;vs open BTN
K-2;non suited;10;BB;;vs open BTN
Q-Q;Pairé;10;BB;;vs open BTN
Q-J;suited;10;BB;;vs open BTN
Q-10;suited;10;BB;;vs open BTN
Q-9;suited;10;BB;;vs open BTN
Q-8;suited;10;BB;;vs open BTN
Q-7;suited;10;BB;;vs open BTN
Q-6;suited;10;BB;;vs open BTN
Q-5;suited;10;BB;;vs open BTN
Q-4;suited;10;BB;;vs open BTN
Q-3;suited;10;BB;;vs open BTN
Q-2;suited;10;BB;;vs open BTN
Q-J;non suited;10;BB;;vs open BTN
Q-10;non suited;10;BB;;vs open BTN
Q-9;non suited;10;BB;;vs open BTN
Q-8;non suited;10;BB;;vs open BTN
Q-7;non suited;10;BB;;vs open BTN
Q-6;non suited;10;BB;;vs open BTN
